,0
0,MSSubClass
1,MSZoning
2,LotFrontage
3,LotArea
4,Alley
5,LandContour
6,LotConfig
7,LandSlope
8,Neighborhood
9,Condition1
10,Condition2
11,BldgType
12,HouseStyle
13,OverallQual
14,OverallCond
15,YearBuilt
16,YearRemodAdd
17,RoofStyle
18,RoofMatl
19,Exterior1st
20,Exterior2nd
21,MasVnrType
22,MasVnrArea
23,ExterQual
24,ExterCond
25,Foundation
26,BsmtQual
27,BsmtCond
28,BsmtExposure
29,BsmtFinType1
30,BsmtFinSF1
31,BsmtFinType2
32,BsmtFinSF2
33,BsmtUnfSF
34,TotalBsmtSF
35,HeatingQC
36,CentralAir
37,1stFlrSF
38,2ndFlrSF
39,LowQualFinSF
40,GrLivArea
41,BsmtFullBath
42,FullBath
43,HalfBath
44,KitchenQual
45,TotRmsAbvGrd
46,Functional
47,Fireplaces
48,GarageType
49,GarageYrBlt
50,GarageFinish
51,GarageCars
52,GarageArea
53,GarageQual
54,PavedDrive
55,WoodDeckSF
56,OpenPorchSF
57,EnclosedPorch
58,3SsnPorch
59,ScreenPorch
60,PoolArea
61,Fence
62,MiscVal
63,MoSold
64,YrSold
65,SaleType
66,SaleCondition
